Permit Number,Permittee Name,Project Name,Mechanical Treatment Type (Suspended Growth/Attached Growth),Unit Process,Plant Optimized for Nutrient Reduction (Y/N),Year of Plant Optimization,Design Flow (MGD),Actual Flow From Permit Application (MGD) ,Average Facility Flow 2019 (MGD),Average Facility Flow 2020 (MGD),Average Facility Flow 2021 (MGD),Average Facility Flow 2022 (MGD),Average Facility Flow 2023 (MGD),Parameter,Nutrient Limit or Monitoring Requirement,Frequency,Sample Type,Monthly Average (lb/day),Daily Max (lb/day),Quarterly Average (lb/day),Monthly Average (mg/L),Daily Max (mg/L),Quarterly Average (mg/L),Rolling Average (lb/yr),Annual Average (lb/day),Annual Total (lb/yr),Total Annual Effluent Loading 2019 (lb/yr),Total Annual Effluent Conentration 2019 (mg/L) [CALCULATED],Total Annual Effluent Loading 2020 (lb/yr),"Total Annual Effluent Concentration  2020 (mg/L)
[CALCULATED]",Total Annual Effluent Loading 2021 (lb/yr),"Total Annual Effluent Concentration  2021 (mg/L)
[CALCULATED]",Total Annual Effluent Loaading 2022 (lb/yr),"Total Annual Effluent Concentration 2022 (mg/L)
[CALCULATED]",Total Annual Effluent Loading 2023 (lb/yr),Total Annual Effluent Concentration 2023 (mg/L) [CALCULATED]
TN0023531,City of Bristol,Bristol STP 2,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,15,11.06,11.34,13.85,11.02,11.34,12.6,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded
TN0023574,Knoxville Utilities Board (KUB),Fourth Creek WWTP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,10.8,6.26,6.84,7.34,5.81,5.85,5.52,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,127983,6.16,140374,6.30,102371,5.80,99406,5.60,95522,5.70
TN0023574,Knoxville Utilities Board (KUB),Fourth Creek WWTP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,10.8,6.26,6.84,7.37,5.81,5.85,5.52,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,14203,0.68,11476,0.51,12189,0.69,11666,0.66,11816,0.71
TN0023582,Knoxville Utilities Board (KUB),Kuwahee STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,44,29.7,30.26,30.4,25.09,25.38,23.83,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,589952,6.42,519049,5.63,421708,5.54,438677,5.69,423474,5.85
TN0023582,Knoxville Utilities Board (KUB),Kuwahee STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,44,29.7,30.26,30.4,25.09,25.38,23.83,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,42953,0.47,24488,0.27,23650,0.31,18312,0.24,17478,0.24
TN0023591,City of McMinnville,McMinnville STP,Suspended Growth,Oxidation Ditch,Y,2021,4,2.4,2.27,2.5,1.92,1.95,1.63,"Nitrogen, Total (as N)",Monitor,Monthly,Grab,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,32760,4.75,29978,3.95,27499,4.72,21288,3.60,20046,4.05
TN0023591,City of McMinnville,McMinnville STP,Suspended Growth,Oxidation Ditch,Y,2021,4,2.4,2.27,2.5,1.92,1.95,1.63,"Phosphorous, Total (as P)",Monitor,Monthly,Grab,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,2490,0.36,997,0.13,663,0.11,3854,0.65,2392,0.48
TN0024121,Cleveland Utilities,Cleveland Utilities STP,Suspended Growth,Sequencing Batch Reactor,N,N/A,21.6,11.3,11.8,11.98,10.45,10.06,9.47,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,39562,1.10,116715,3.21,96408,3.04,53308,1.75,1131,0.04
TN0024121,Cleveland Utilities,Cleveland Utilities STP,Suspended Growth,Sequencing Batch Reactor,N,N/A,21.6,11.3,11.8,11.98,10.45,10.06,9.47,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,6326,0.18,15345,0.42,25016,0.79,7450,0.24,308,0.01
TN0024155,City of Oak Ridge,Oak Ridge Turtle Park STP,Suspended Growth,Aeration Basin Conventional Extended Air,Y,2016,30,10.46,3.75,4.52,4.21,4.48,3.3,"Nitrogen, Total (as N)",Limit,Monthly,Composite,Not Limited,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,708,Not Limited,171923,15.10,179636,13.09,148532,11.62,164692,12.11,150314,15.01
TN0024155,City of Oak Ridge,Oak Ridge Turtle Park STP,Suspended Growth,Aeration Basin Conventional Extended Air,Y,2016,30,10.46,3.75,4.52,4.21,4.48,3.3,"Phosphorous, Total (as P)",Limit,Monthly,Composite,Not Limited,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,108,Not Limited,55733,4.90,28856,2.10,25632,2.01,34287,2.52,23857,2.38
TN0024180,"Shelbyville Power, Water & Sewerage System",Shelbyville STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,6.5,3.205,3.69,3.69,3.63,3.41,3.33,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,33095,2.95,28171,2.52,22207,2.02,9685,0.94,18288,1.81
TN0024180,"Shelbyville Power, Water & Sewerage System",Shelbyville STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,6.5,3.205,3.69,3.69,3.63,3.41,3.33,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,12835,1.15,14984,1.34,9632,0.87,13748,1.33,9259,0.92
TN0024198,City of Cookeville,Cookeville Municipal POTW,Suspended Growth,Oxidation Ditch,Y,2015,14,8.41,8.03,8.22,9.02,9.58,8.53,"Nitrogen, Total (as N)",Limit,Weekly,Composite,Report,Report,Not Limited,Report,Report,Not Limited,Not Limited,1532,Not Limited,85415,3.50,98018,3.93,162002,5.92,218121,7.50,251937,9.73
TN0024198,City of Cookeville,Cookeville Municipal POTW,Suspended Growth,Oxidation Ditch,Y,2015,14,8.41,8.03,8.22,9.02,9.58,8.53,"Phosphorous, Total (as P)",Limit,Weekly,Composite,Report,Report,Not Limited,Report,Report,Not Limited,Not Limited,245,Not Limited,28151,1.15,26064,1.04,40100,1.46,43569,1.50,37387,1.44
TN0024201,Athens Utilities Board (AUB),Oostanuala STP,Suspended Growth,Oxidation Ditch,Y,2015,6,2.56,3.41,3.3,2.42,2.49,2.57,"Nitrogen, Total (as N)",Limit,Weekly/Monthly,Composite,Not Limited,Not Limited,Not Limited,Report,Not Limited,Not Limited,91323,Not Limited,Not Limited,16924,1.64,17117,1.71,17594,2.40,15703,2.08,14863,1.91
TN0024201,Athens Utilities Board (AUB),Oostanuala STP,Suspended Growth,Oxidation Ditch,Y,2015,6,2.56,3.41,3.3,2.42,2.49,2.57,"Phosphorous, Total (as P)",Limit,Weekly/Monthly,Composite,Not Limited,Not Limited,Not Limited,Report,Not Limited,Not Limited,18250,Not Limited,Not Limited,4630,0.45,8045,0.80,5753,0.78,4282,0.57,2742,0.35
TN0024210,City of Chattanooga,Moccasin Bend WWTP & Combined Sewer System,Suspended Growth,Pure Oxygen,Y,2016,140,127,19.14,80.06,71.1,55.05,7.16,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,3133395,53.93,3140645,12.92,3244757,15.04,3280365,19.63,3450809,158.78
TN0024210,City of Chattanooga,Moccasin Bend WWTP & Combined Sewer System,Suspended Growth,Pure Oxygen,Y,2016,140,127,19.14,80.06,71.1,55.05,7.16,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,408395,7.03,349843,1.44,412512,1.91,438353,2.62,623424,28.69
TN0024236,Johnson City,Knob Creek STP,Suspended Growth,Oxidation Ditch,N,N/A,4,2.58,3.73,3.79,3.08,3.09,3.4,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,80332,7.10,90137,7.84,39201,4.19,76689,8.18,20340,1.97
TN0024236,Johnson City,Knob Creek STP,Suspended Growth,Oxidation Ditch,N,N/A,4,2.58,3.73,3.79,3.08,3.09,3.4,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,12048,1.06,10465,0.91,5752,0.62,9861,1.05,540,0.05
TN0024244,Johnson City,Brush Creek WWTP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,16,10.84,8.69,9,6.75,5.36,6.42,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,271759,10.30,402176,14.72,265246,12.95,221907,13.64,59580,3.06
TN0024244,Johnson City,Brush Creek WWTP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,16,10.84,8.69,9,6.75,5.36,6.42,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,9423,0.36,12234,0.45,16122,0.79,17337,1.07,3150,0.16
TN0024295,City of South Pittsburg,South Pittsburg STP,Suspended Growth,Oxidation Ditch,N,N/A,1.5,0.67,0.61,0.69,0.63,0.62,0.52,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,15326,8.28,18209,8.69,8380,4.38,21661,11.51,21260,13.47
TN0024295,City of South Pittsburg,South Pittsburg STP,Suspended Growth,Oxidation Ditch,N,N/A,1.5,0.67,0.61,0.69,0.63,0.62,0.52,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,5880,3.18,1613,0.77,1591,0.83,4555,2.42,9733,6.17
TN0024341,"City of Lexington, Utilities Division",Lexington Utilities STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,3.2,1.65,1.7,1.72,1.67,1.62,1.57,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,31377,6.08,25466,4.88,32006,6.31,29487,6.00,21556,4.52
TN0024341,"City of Lexington, Utilities Division",Lexington Utilities STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,3.2,1.65,1.7,1.72,1.67,1.62,1.57,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,7335,1.42,6621,1.27,7826,1.54,5389,1.10,6081,1.28
TN0024449,City of Copperhill,Copperhill STP,Suspended Growth,Oxidation Ditch,N,N/A,0.7,0.39,0.31,0.38,0.37,0.3,0.29,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded
TN0024449,City of Copperhill,Copperhill STP,Suspended Growth,Oxidation Ditch,N,N/A,0.7,0.39,0.31,0.38,0.37,0.3,0.29,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded
TN0024473,Roane County,Roane County STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,1,0.41,0.41,0.4,0.32,0.35,0.35,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Report,Report,Not Limited,Report,Report,Not Limited,Not Limited,Not Limited,Not Limited,15981,12.84,28673,23.62,14830,15.27,8038,7.57,8518,8.02
TN0024473,Roane County,Roane County STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,1,0.41,0.41,0.4,0.32,0.35,0.35,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Report,Report,Not Limited,Report,Report,Not Limited,Not Limited,Not Limited,Not Limited,1403,1.13,3496,2.88,455,0.47,302,0.28,450,0.42
TN0024791,Claiborne Utilities District,Claiborne Utilities District STP,Suspended Growth,Oxidation Ditch,N,N/A,0.65,0.65,0.68,0.62,0.54,0.52,0.5,"Nitrogen, Total (as N)",Limit,Monthly,Composite,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,26770,Not Limited,Not Limited,18027,8.73,19931,10.59,15708,9.58,19063,12.08,17881,11.78
TN0024791,Claiborne Utilities District,Claiborne Utilities District STP,Suspended Growth,Oxidation Ditch,N,N/A,0.65,0.65,0.68,0.62,0.54,0.52,0.5,"Phosphorous, Total (as P)",Limit,Monthly,Grab/Composite,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,6104,Not Limited,Not Limited,2904,1.41,1865,0.99,1574,0.96,1455,0.92,3776,2.49
TN0024813,Jackson Energy Authority (JEA),Miller Avenue STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,17.4,10.34,9.6,8.97,8.8,8.6,8.88,"Nitrogen, Total (as N)",Limit,Monthly,Composite,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,424297,Not Limited,Not Limited,274817,9.43,207106,7.61,193887,7.26,238963,9.15,328401,12.18
TN0024813,Jackson Energy Authority (JEA),Miller Avenue STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,17.4,10.34,9.6,8.97,8.8,8.6,8.88,"Phosphorous, Total (as P)",Limit,Monthly,Composite,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,80665,Not Limited,Not Limited,52245,1.79,44991,1.65,24114,0.90,196,0.01,38311,1.42
TN0024937,Town of Centerville,Centerville STP,Suspended Growth,Aeration Basin Conventional Extended Air,Y ,2022,0.75,0.31,0.37,0.38,0.34,0.27,0.28,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,1576,1.40,595,0.52,424,0.41,771,0.94,599,0.70
TN0024937,Town of Centerville,Centerville STP,Suspended Growth,Aeration Basin Conventional Extended Air,Y,2022,0.75,0.31,0.37,0.38,0.34,0.27,0.28,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,1052,0.94,301,0.26,179,0.17,527,0.64,582,0.68
TN0024945,Town of Mountain City,Mountain City WWTP,Suspended Growth,Oxidation Ditch,N,N/A,1.2,0.89,1.92,1.29,1,0.83,0.95,"Nitrogen, Total (as N)",Limit,Monthly,Composite,Report,Report,Not Limited,Report,Report,Not Limited,37819,Not Limited,Not Limited,30336,5.21,24337,6.22,31172,10.27,19176,7.61,30101,10.44
TN0024945,Town of Mountain City,Mountain City WWTP,Suspended Growth,Oxidation Ditch,N,N/A,1.2,0.89,1.92,1.29,1,0.83,0.95,"Phosphorous, Total (as P)",Limit,Monthly,Composite,Report,Report,Not Limited,Report,Report,Not Limited,5724,Not Limited,Not Limited,5227,0.90,3060,0.78,4822,1.59,2953,1.17,4208,1.46
TN0024953,Town of Tellico Plains,Tellico Plains STP,Suspended Growth,Oxidation Ditch,N,N/A,0.41,0.15,0.16,0.26,0.28,0.19,0.13,"Nitrogen, Total (as N)",Neither,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded
TN0024953,Town of Tellico Plains,Tellico Plains STP,Suspended Growth,Oxidation Ditch,N,N/A,0.41,0.15,0.16,0.26,0.28,0.19,0.13,"Phosphorous, Total (as P)",Neither,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded
TN0024961,City of Springfield,Springfield STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,3.4,3,3.21,2.82,2.93,2.92,2.67,"Nitrogen, Total (as N)",Limit,Monthly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,459,Not Limited,69388,7.12,75197,8.79,73377,8.25,116445,13.14,108259,13.36
TN0024961,City of Springfield,Springfield STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,3.4,3,3.21,2.82,2.93,2.92,2.67,"Phosphorous, Total (as P)",Limit,Monthly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,196,Not Limited,23187,2.38,25251,2.95,24215,2.72,38539,4.35,24294,3.00
TN0024970,Metro Water Services,Nashville Whites Creek STP,Suspended Growth,Aeration Basin Conventional Plug Flow,N,N/A,37.5,33.4,40.23,38.2,36.33,34.86,32.89,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,439394,3.60,403321,3.48,457528,4.15,458147,4.33,386272,3.87
TN0024970,Metro Water Services,Nashville Whites Creek STP,Suspended Growth,Aeration Basin Conventional Plug Flow,N,N/A,37.5,33.4,40.23,38.2,36.33,34.86,32.89,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,49001,0.40,74784,0.64,57660,0.52,68288,0.65,50620,0.51
TN0024988,Town of Alamo,Alamo STP,Suspended Growth,Oxidation Ditch,N,N/A,0.4,0.2,1.2,0.39,0.38,0.36,0.35,"Nitrogen, Total (as N)",Monitor,Monthly,Composite,Not Limited,Not Limited,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded
TN0024988,Town of Alamo,Alamo STP,Suspended Growth,Oxidation Ditch,N,N/A,0.4,0.2,1.2,0.39,0.38,0.36,0.35,"Phosphorous, Total (as P)",Limit,Monthly,Composite,Not Limited,Not Limited,Not Limited,Report,Not Limited,Not Limited,6529,Not Limited,Not Limited,6847,1.88,2946,2.49,1791,1.55,1624,1.49,2451,2.31
TN0024996,City of Crossville,Crossville STP,Suspended Growth,Aeration Basin with Step Feed,Y,2015,3.5,2.28,2.32,2.88,2.46,2.72,2.23,"Nitrogen, Total (as N)",Limit,Weekly/Monthly,Composite,Report,Report,Not Limited,Report,Report,Not Limited,76169,431.7,Not Limited,41893,5.95,50750,5.81,52361,7.01,75362,9.13,54448,8.04
TN0024996,City of Crossville,Crossville STP,Suspended Growth,Aeration Basin with Step Feed,Y,2015,3.5,2.28,2.32,2.88,2.46,2.72,2.23,"Phosphorous, Total (as P)",Limit,Weekly/Monthly,Composite,Report,Report,Not Limited,Report,Report,Not Limited,8455,47.7,Not Limited,4147,0.59,2203,0.25,2806,0.38,2171,0.26,1825,0.27
TN0025020,City of Madisonville,Madisonville STP,Suspended Growth,Sequencing Batch Reactor,N,N/A,0.8,0.8,0.74,0.72,0.62,0.61,0.67,"Nitrogen, Total (as N)",Limit,Weekly/Monthly,Composite,Report,Report,Not Limited,Report,Report,Not Limited,19482,Not Limited,Not Limited,9042,4.03,6334,2.90,5327,2.83,11026,5.95,9421,4.63
TN0025020,City of Madisonville,Madisonville STP,Suspended Growth,Sequencing Batch Reactor,N,N/A,0.8,0.8,0.74,0.72,0.62,0.61,0.67,"Phosphorous, Total (as P)",Limit,Weekly/Monthly,Composite,Report,Report,Not Limited,Report,Report,Not Limited,2435,Not Limited,Not Limited,1933,0.86,1460,0.67,1183,0.63,1003,0.54,1863,0.92
TN0025038,City of Manchester,Municipal POTW,Suspended Growth,Oxidation Ditch,N,N/A,4.3,2.94,2.93,2.94,2.83,2.8,2.81,"Nitrogen, Total (as N)",Monitor,Monthly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,60814,6.84,64458,7.22,49996,5.82,47515,5.59,30600,3.59
TN0025038,City of Manchester,Municipal POTW,Suspended Growth,Oxidation Ditch,N,N/A,4.3,2.94,2.93,2.94,2.83,2.8,2.81,"Phosphorous, Total (as P)",Monitor,Monthly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,13973,1.57,14434,1.62,11631,1.35,18624,2.19,12567,1.47
TN0025054,Town of Pikeville,Pikeville STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,0.254,0.23,0.25,0.55,0.55,0.55,0.16,"Nitrogen, Total (as N)",Monitor,Quarterly,Grab,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,1234,0.74,2864,5.90
TN0025054,Town of Pikeville,Pikeville STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,0.254,0.23,0.25,0.55,0.55,0.55,0.16,"Phosphorous, Total (as P)",Monitor,Quarterly,Grab,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,327,0.20,533,1.10
TN0025089,Town of Woodbury,Woodbury STP,Suspended Growth,Oxidation Ditch,N,N/A,0.6,0.42,0.52,0.53,0.51,0.43,0.44,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,2574,1.66,1867,1.43,1180,0.88
TN0025089,Town of Woodbury,Woodbury STP,Suspended Growth,Oxidation Ditch,N,N/A,0.6,0.42,0.52,0.53,0.51,0.43,0.44,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,81.84,0.05,94.98,0.07,67.9,0.05
TN0025101,Metropolitan Lynchburg Moore County Utility Department (M.U.D.),Lynchburg WWTP,Suspended Growth,Aeration Basin with Contact Stabilization,N,N/A,0.3,0.23,0.21,0.23,0.23,0.21,0.13,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,1387,2.18,781,1.12,1981,2.84,267,0.42,186,0.47
TN0025101,Metropolitan Lynchburg Moore County Utility Department (M.U.D.),Lynchburg WWTP,Suspended Growth,Aeration Basin with Contact Stabilization,N,N/A,0.3,0.23,0.21,0.23,0.23,0.21,0.13,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,517,0.81,239,0.34,1101,1.58,462,0.72,102,0.26
TN0025127,City of Rocky Top,Rocky Top STP,Suspended Growth,Oxidation Ditch,N,N/A,0.95,0.63,0.74,0.79,0.64,0.81,0.58,"Nitrogen, Total (as N)",Monitor,Weekly,Grab,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Limited,16741,7.45,30022,12.52,19293,9.93,21487,8.74,9660,5.49
TN0025127,City of Rocky Top,Rocky Top STP,Suspended Growth,Oxidation Ditch,N,N/A,0.95,0.63,0.74,0.79,0.64,0.81,0.58,"Phosphorous, Total (as P)",Limit,Weekly,Grab,Not Limited,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,11.2,Not Limited,2158,0.96,3976,1.66,2441,1.26,2473,1.01,2334,1.33
TN0025372,West Warren-Viola Utility District,Morrison STP,Suspended Growth,Sequencing Batch Reactor,N,N/A,0.9,0.27,0.32,0.35,0.29,0.3,0.26,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,4149,5.26
TN0025372,West Warren-Viola Utility District,Morrison STP,Suspended Growth,Sequencing Batch Reactor,N,N/A,0.9,0.27,0.32,0.35,0.29,0.3,0.26,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,Not Recorded,1079,1.37
TN0025437,City of Harriman,Harriman STP,Suspended Growth,Oxidation Ditch,Y,2020,1.5,1.07,1.09,1.07,0.43,0.47,0.46,"Nitrogen, Total (as N)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,8347,2.52,2446,0.75,1874,1.44,1083,0.76,3141,2.25
TN0025437,City of Harriman,Harriman STP,Suspended Growth,Oxidation Ditch,Y,2020,1.5,1.07,1.09,1.07,0.43,0.47,0.46,"Phosphorous, Total (as P)",Monitor,Quarterly,Composite,Not Limited,Not Limited,Not Limited,Not Limited,Report,Not Limited,Not Limited,Not Limited,Not Limited,1759,0.53,1120,0.34,1068,0.82,1066,0.75,1269,0.91
TN0025470,City of Niota,Niota STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,0.4,0.15,0.21,0.21,0.12,0.12,0.17,"Nitrogen, Total (as N)",Limit,Monthly,Composite,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,8353,Not Limited,Not Limited,3405,5.34,3358,5.27,9054,24.86,7699,21.14,9550,18.51
TN0025470,City of Niota,Niota STP,Suspended Growth,Aeration Basin Conventional Extended Air,N,N/A,0.4,0.15,0.21,0.21,0.12,0.12,0.17,"Phosphorous, Total (as P)",Limit,Monthly,Composite,Report,Not Limited,Not Limited,Report,Not Limited,Not Limited,3482,Not Limited,Not Limited,863,1.35,1212,1.90,916,2.51,1444,3.96,1616,3.13
